product_id;product_name;product_category;price
69;Aalopuri       ;Fastfood ;20
85;Vadapav        ;Fastfood ;20
82;Vadapav        ;Fastfood ;20
5;Sugarcane juice;Beverages;25
64;Sugarcane juice;Beverages;25
127;Vadapav        ;Fastfood ;20
93;Sugarcane juice;Beverages;25
136;Panipuri       ;Fastfood ;20
120;Panipuri       ;Fastfood ;20
70;Panipuri       ;Fastfood ;20
16;Frankie        ;Fastfood ;50
84;Vadapav        ;Fastfood ;20
39;Panipuri       ;Fastfood ;20
21;Frankie        ;Fastfood ;50
55;Aalopuri       ;Fastfood ;20
95;Sandwich       ;Fastfood ;60
149;Panipuri       ;Fastfood ;20
74;Panipuri       ;Fastfood ;20
106;Panipuri       ;Fastfood ;20
35;Cold coffee    ;Beverages;40
100;Cold coffee    ;Beverages;40
84;Sugarcane juice;Beverages;25
108;Sandwich       ;Fastfood ;60
39;Sugarcane juice;Beverages;25
89;Sandwich       ;Fastfood ;60
112;Sugarcane juice;Beverages;25
100;Cold coffee    ;Beverages;40
80;Cold coffee    ;Beverages;40
80;Sugarcane juice;Beverages;25
99;Frankie        ;Fastfood ;50
122;Cold coffee    ;Beverages;40
73;Aalopuri       ;Fastfood ;20
72;Aalopuri       ;Fastfood ;20
134;Frankie        ;Fastfood ;50
136;Vadapav        ;Fastfood ;20
46;Cold coffee    ;Beverages;40
69;Frankie        ;Fastfood ;50
103;Panipuri       ;Fastfood ;20
86;Vadapav        ;Fastfood ;20
48;Sandwich       ;Fastfood ;60
30;Cold coffee    ;Beverages;40
8;Aalopuri       ;Fastfood ;20
91;Vadapav        ;Fastfood ;20
34;Cold coffee    ;Beverages;40
127;Sugarcane juice;Beverages;25
42;Vadapav        ;Fastfood ;20
70;Sandwich       ;Fastfood ;60
146;Sandwich       ;Fastfood ;60
76;Frankie        ;Fastfood ;50
76;Vadapav        ;Fastfood ;20
101;Frankie        ;Fastfood ;50
141;Sugarcane juice;Beverages;25
112;Aalopuri       ;Fastfood ;20
12;Panipuri       ;Fastfood ;20
14;Sandwich       ;Fastfood ;60
135;Panipuri       ;Fastfood ;20
137;Panipuri       ;Fastfood ;20
126;Vadapav        ;Fastfood ;20
81;Vadapav        ;Fastfood ;20
104;Cold coffee    ;Beverages;40
64;Vadapav        ;Fastfood ;20
121;Sugarcane juice;Beverages;25
145;Sandwich       ;Fastfood ;60
130;Cold coffee    ;Beverages;40
116;Aalopuri       ;Fastfood ;20
68;Frankie        ;Fastfood ;50
113;Aalopuri       ;Fastfood ;20
95;Cold coffee    ;Beverages;40
133;Vadapav        ;Fastfood ;20
15;Cold coffee    ;Beverages;40
95;Cold coffee    ;Beverages;40
106;Frankie        ;Fastfood ;50
19;Panipuri       ;Fastfood ;20
102;Cold coffee    ;Beverages;40
78;Cold coffee    ;Beverages;40
84;Vadapav        ;Fastfood ;20
136;Sugarcane juice;Beverages;25
67;Vadapav        ;Fastfood ;20
64;Panipuri       ;Fastfood ;20
50;Frankie        ;Fastfood ;50
129;Frankie        ;Fastfood ;50
65;Frankie        ;Fastfood ;50
19;Frankie        ;Fastfood ;50
78;Panipuri       ;Fastfood ;20
49;Aalopuri       ;Fastfood ;20
44;Aalopuri       ;Fastfood ;20
27;Aalopuri       ;Fastfood ;20
23;Cold coffee    ;Beverages;40
70;Aalopuri       ;Fastfood ;20
68;Vadapav        ;Fastfood ;20
107;Cold coffee    ;Beverages;40
146;Aalopuri       ;Fastfood ;20
149;Cold coffee    ;Beverages;40
7;Aalopuri       ;Fastfood ;20
44;Sugarcane juice;Beverages;25
115;Sandwich       ;Fastfood ;60
46;Cold coffee    ;Beverages;40
99;Vadapav        ;Fastfood ;20
8;Sugarcane juice;Beverages;25
2;Panipuri       ;Fastfood ;20
2;Vadapav        ;Fastfood ;20
10;Cold coffee    ;Beverages;40
40;Cold coffee    ;Beverages;40
38;Cold coffee    ;Beverages;40
85;Panipuri       ;Fastfood ;20
144;Frankie        ;Fastfood ;50
44;Sandwich       ;Fastfood ;60
112;Panipuri       ;Fastfood ;20
64;Cold coffee    ;Beverages;40
2;Panipuri       ;Fastfood ;20
24;Sandwich       ;Fastfood ;60
58;Sandwich       ;Fastfood ;60
53;Aalopuri       ;Fastfood ;20
32;Aalopuri       ;Fastfood ;20
102;Aalopuri       ;Fastfood ;20
108;Sugarcane juice;Beverages;25
9;Frankie        ;Fastfood ;50
3;Sandwich       ;Fastfood ;60
106;Panipuri       ;Fastfood ;20
133;Frankie        ;Fastfood ;50
52;Cold coffee    ;Beverages;40
74;Panipuri       ;Fastfood ;20
96;Cold coffee    ;Beverages;40
21;Sugarcane juice;Beverages;25
38;Vadapav        ;Fastfood ;20
55;Panipuri       ;Fastfood ;20
19;Aalopuri       ;Fastfood ;20
30;Vadapav        ;Fastfood ;20
97;Panipuri       ;Fastfood ;20
40;Sugarcane juice;Beverages;25
139;Sandwich       ;Fastfood ;60
70;Vadapav        ;Fastfood ;20
8;Aalopuri       ;Fastfood ;20
139;Aalopuri       ;Fastfood ;20
101;Aalopuri       ;Fastfood ;20
74;Aalopuri       ;Fastfood ;20
98;Sugarcane juice;Beverages;25
149;Sandwich       ;Fastfood ;60
31;Frankie        ;Fastfood ;50
12;Frankie        ;Fastfood ;50
109;Aalopuri       ;Fastfood ;20
136;Sugarcane juice;Beverages;25
116;Frankie        ;Fastfood ;50
144;Panipuri       ;Fastfood ;20
54;Sandwich       ;Fastfood ;60
86;Frankie        ;Fastfood ;50
99;Panipuri       ;Fastfood ;20
133;Sandwich       ;Fastfood ;60
44;Sandwich       ;Fastfood ;60
105;Cold coffee    ;Beverages;40
75;Frankie        ;Fastfood ;50
42;Cold coffee    ;Beverages;40
147;Panipuri       ;Fastfood ;20
149;Vadapav        ;Fastfood ;20
89;Sugarcane juice;Beverages;25
2;Panipuri       ;Fastfood ;20
111;Frankie        ;Fastfood ;50
18;Aalopuri       ;Fastfood ;20
146;Sugarcane juice;Beverages;25
115;Vadapav        ;Fastfood ;20
65;Sugarcane juice;Beverages;25
132;Aalopuri       ;Fastfood ;20
29;Frankie        ;Fastfood ;50
5;Sugarcane juice;Beverages;25
104;Sandwich       ;Fastfood ;60
137;Panipuri       ;Fastfood ;20
116;Cold coffee    ;Beverages;40
43;Sandwich       ;Fastfood ;60
26;Vadapav        ;Fastfood ;20
15;Aalopuri       ;Fastfood ;20
116;Vadapav        ;Fastfood ;20
82;Sugarcane juice;Beverages;25
47;Cold coffee    ;Beverages;40
132;Aalopuri       ;Fastfood ;20
82;Frankie        ;Fastfood ;50
8;Panipuri       ;Fastfood ;20
13;Panipuri       ;Fastfood ;20
124;Aalopuri       ;Fastfood ;20
60;Sugarcane juice;Beverages;25
81;Vadapav        ;Fastfood ;20
131;Cold coffee    ;Beverages;40
138;Cold coffee    ;Beverages;40
132;Sugarcane juice;Beverages;25
107;Cold coffee    ;Beverages;40
109;Sugarcane juice;Beverages;25
93;Frankie        ;Fastfood ;50
37;Aalopuri       ;Fastfood ;20
83;Panipuri       ;Fastfood ;20
34;Vadapav        ;Fastfood ;20
121;Cold coffee    ;Beverages;40
69;Sugarcane juice;Beverages;25
113;Vadapav        ;Fastfood ;20
119;Cold coffee    ;Beverages;40
10;Vadapav        ;Fastfood ;20
109;Sandwich       ;Fastfood ;60
8;Sandwich       ;Fastfood ;60
37;Panipuri       ;Fastfood ;20
113;Frankie        ;Fastfood ;50
18;Frankie        ;Fastfood ;50
110;Cold coffee    ;Beverages;40
130;Panipuri       ;Fastfood ;20
136;Aalopuri       ;Fastfood ;20
37;Vadapav        ;Fastfood ;20
106;Cold coffee    ;Beverages;40
85;Vadapav        ;Fastfood ;20
15;Aalopuri       ;Fastfood ;20
21;Cold coffee    ;Beverages;40
75;Cold coffee    ;Beverages;40
148;Aalopuri       ;Fastfood ;20
63;Sugarcane juice;Beverages;25
149;Aalopuri       ;Fastfood ;20
98;Cold coffee    ;Beverages;40
144;Vadapav        ;Fastfood ;20
30;Sugarcane juice;Beverages;25
117;Sugarcane juice;Beverages;25
96;Panipuri       ;Fastfood ;20
150;Cold coffee    ;Beverages;40
134;Cold coffee    ;Beverages;40
51;Aalopuri       ;Fastfood ;20
92;Sugarcane juice;Beverages;25
7;Sandwich       ;Fastfood ;60
35;Sandwich       ;Fastfood ;60
110;Panipuri       ;Fastfood ;20
94;Sugarcane juice;Beverages;25
33;Frankie        ;Fastfood ;50
88;Aalopuri       ;Fastfood ;20
81;Cold coffee    ;Beverages;40
68;Panipuri       ;Fastfood ;20
36;Panipuri       ;Fastfood ;20
107;Frankie        ;Fastfood ;50
141;Sugarcane juice;Beverages;25
83;Vadapav        ;Fastfood ;20
2;Panipuri       ;Fastfood ;20
133;Panipuri       ;Fastfood ;20
91;Sandwich       ;Fastfood ;60
14;Vadapav        ;Fastfood ;20
27;Panipuri       ;Fastfood ;20
90;Vadapav        ;Fastfood ;20
11;Frankie        ;Fastfood ;50
132;Sandwich       ;Fastfood ;60
20;Sugarcane juice;Beverages;25
141;Cold coffee    ;Beverages;40
72;Panipuri       ;Fastfood ;20
24;Sandwich       ;Fastfood ;60
80;Vadapav        ;Fastfood ;20
13;Vadapav        ;Fastfood ;20
124;Sugarcane juice;Beverages;25
30;Frankie        ;Fastfood ;50
67;Sugarcane juice;Beverages;25
11;Sugarcane juice;Beverages;25
106;Cold coffee    ;Beverages;40
78;Vadapav        ;Fastfood ;20
81;Sugarcane juice;Beverages;25
64;Cold coffee    ;Beverages;40
94;Vadapav        ;Fastfood ;20
49;Aalopuri       ;Fastfood ;20
43;Sandwich       ;Fastfood ;60
71;Vadapav        ;Fastfood ;20
35;Sandwich       ;Fastfood ;60
85;Sugarcane juice;Beverages;25
45;Frankie        ;Fastfood ;50
135;Vadapav        ;Fastfood ;20
109;Panipuri       ;Fastfood ;20
71;Sugarcane juice;Beverages;25
77;Vadapav        ;Fastfood ;20
82;Frankie        ;Fastfood ;50
147;Vadapav        ;Fastfood ;20
36;Cold coffee    ;Beverages;40
44;Panipuri       ;Fastfood ;20
105;Sandwich       ;Fastfood ;60
90;Vadapav        ;Fastfood ;20
40;Frankie        ;Fastfood ;50
140;Panipuri       ;Fastfood ;20
45;Sugarcane juice;Beverages;25
49;Vadapav        ;Fastfood ;20
5;Sugarcane juice;Beverages;25
138;Cold coffee    ;Beverages;40
59;Frankie        ;Fastfood ;50
131;Vadapav        ;Fastfood ;20
142;Panipuri       ;Fastfood ;20
22;Sandwich       ;Fastfood ;60
92;Vadapav        ;Fastfood ;20
34;Panipuri       ;Fastfood ;20
91;Frankie        ;Fastfood ;50
45;Aalopuri       ;Fastfood ;20
10;Vadapav        ;Fastfood ;20
87;Aalopuri       ;Fastfood ;20
133;Sandwich       ;Fastfood ;60
147;Aalopuri       ;Fastfood ;20
82;Panipuri       ;Fastfood ;20
79;Frankie        ;Fastfood ;50
32;Frankie        ;Fastfood ;50
85;Panipuri       ;Fastfood ;20
112;Aalopuri       ;Fastfood ;20
74;Sandwich       ;Fastfood ;60
64;Panipuri       ;Fastfood ;20
64;Sandwich       ;Fastfood ;60
102;Sugarcane juice;Beverages;25
48;Aalopuri       ;Fastfood ;20
105;Aalopuri       ;Fastfood ;20
118;Panipuri       ;Fastfood ;20
81;Aalopuri       ;Fastfood ;20
26;Sugarcane juice;Beverages;25
77;Vadapav        ;Fastfood ;20
78;Panipuri       ;Fastfood ;20
48;Cold coffee    ;Beverages;40
63;Vadapav        ;Fastfood ;20
127;Sandwich       ;Fastfood ;60
44;Sandwich       ;Fastfood ;60
115;Vadapav        ;Fastfood ;20
116;Frankie        ;Fastfood ;50
138;Cold coffee    ;Beverages;40
65;Cold coffee    ;Beverages;40
145;Frankie        ;Fastfood ;50
4;Cold coffee    ;Beverages;40
51;Frankie        ;Fastfood ;50
43;Aalopuri       ;Fastfood ;20
27;Aalopuri       ;Fastfood ;20
95;Frankie        ;Fastfood ;50
135;Sugarcane juice;Beverages;25
53;Frankie        ;Fastfood ;50
64;Cold coffee    ;Beverages;40
127;Aalopuri       ;Fastfood ;20
148;Sugarcane juice;Beverages;25
148;Aalopuri       ;Fastfood ;20
83;Sandwich       ;Fastfood ;60
69;Frankie        ;Fastfood ;50
80;Vadapav        ;Fastfood ;20
95;Panipuri       ;Fastfood ;20
3;Panipuri       ;Fastfood ;20
19;Panipuri       ;Fastfood ;20
114;Aalopuri       ;Fastfood ;20
86;Sugarcane juice;Beverages;25
65;Cold coffee    ;Beverages;40
75;Cold coffee    ;Beverages;40
104;Sugarcane juice;Beverages;25
27;Aalopuri       ;Fastfood ;20
125;Sugarcane juice;Beverages;25
94;Sugarcane juice;Beverages;25
4;Cold coffee    ;Beverages;40
104;Frankie        ;Fastfood ;50
75;Vadapav        ;Fastfood ;20
98;Sugarcane juice;Beverages;25
43;Cold coffee    ;Beverages;40
17;Panipuri       ;Fastfood ;20
1;Cold coffee    ;Beverages;40
75;Frankie        ;Fastfood ;50
145;Vadapav        ;Fastfood ;20
39;Panipuri       ;Fastfood ;20
50;Cold coffee    ;Beverages;40
87;Frankie        ;Fastfood ;50
52;Frankie        ;Fastfood ;50
34;Vadapav        ;Fastfood ;20
35;Panipuri       ;Fastfood ;20
65;Cold coffee    ;Beverages;40
67;Sugarcane juice;Beverages;25
132;Sandwich       ;Fastfood ;60
100;Aalopuri       ;Fastfood ;20
72;Aalopuri       ;Fastfood ;20
102;Cold coffee    ;Beverages;40
9;Sandwich       ;Fastfood ;60
45;Sugarcane juice;Beverages;25
104;Frankie        ;Fastfood ;50
63;Cold coffee    ;Beverages;40
63;Panipuri       ;Fastfood ;20
42;Sugarcane juice;Beverages;25
49;Panipuri       ;Fastfood ;20
70;Cold coffee    ;Beverages;40
96;Sandwich       ;Fastfood ;60
57;Panipuri       ;Fastfood ;20
85;Vadapav        ;Fastfood ;20
139;Frankie        ;Fastfood ;50
127;Sugarcane juice;Beverages;25
135;Frankie        ;Fastfood ;50
97;Panipuri       ;Fastfood ;20
88;Frankie        ;Fastfood ;50
124;Sugarcane juice;Beverages;25
3;Vadapav        ;Fastfood ;20
12;Cold coffee    ;Beverages;40
112;Sandwich       ;Fastfood ;60
101;Vadapav        ;Fastfood ;20
114;Cold coffee    ;Beverages;40
68;Aalopuri       ;Fastfood ;20
122;Sugarcane juice;Beverages;25
126;Vadapav        ;Fastfood ;20
148;Frankie        ;Fastfood ;50
35;Sugarcane juice;Beverages;25
135;Sandwich       ;Fastfood ;60
10;Sandwich       ;Fastfood ;60
105;Sugarcane juice;Beverages;25
72;Aalopuri       ;Fastfood ;20
150;Aalopuri       ;Fastfood ;20
25;Sugarcane juice;Beverages;25
105;Sandwich       ;Fastfood ;60
25;Sandwich       ;Fastfood ;60
115;Frankie        ;Fastfood ;50
65;Aalopuri       ;Fastfood ;20
38;Panipuri       ;Fastfood ;20
111;Panipuri       ;Fastfood ;20
63;Cold coffee    ;Beverages;40
131;Sugarcane juice;Beverages;25
142;Frankie        ;Fastfood ;50
127;Cold coffee    ;Beverages;40
118;Frankie        ;Fastfood ;50
116;Sugarcane juice;Beverages;25
98;Cold coffee    ;Beverages;40
39;Sugarcane juice;Beverages;25
150;Vadapav        ;Fastfood ;20
